PUBLIC ΧΑΛΑΝΔΡΙΟΥ;ΓΚΙΝΗ 5;ΧΑΛΑΝΔΡΙ;15233;38,022432;23,798525
PUBLIC ΨΥΧΙΚΟΥ;ΔΙΟΝΥΣΙΟΥ ΣΩΛΟΜΟΥ 3;ΨΥΧΙΚΟ;15451;38,004747;23,776342
PUBLIC THE MALL ATHENS;ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 35;ΜΑΡΟΥΣΙ;15122;38,045236;23,790114
PUBLIC GOLDEN HALL;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 37Α;ΜΑΡΟΥΣΙ;15122;38,033715;23,793852
PUBLIC ΑΓ. ΠΑΡΑΣΚΕΥΗΣ;ΛΕΩΦ. ΜΕΣΟΓΕΙΩΝ 402;ΑΓ. ΠΑΡΑΣΚΕΥΗ;15342;38,012807;23,818565
PUBLIC ΚΟΛΩΝΑΚΙΟΥ;ΣΚΟΥΦΑ 3;ΑΘΗΝΑ;10673;37,977376;23,740406
PUBLIC ΣΥΝΤΑΓΜΑΤΟΣ;ΚΑΡΑΓΙΩΡΓΗ ΣΕΡΒΙΑΣ 1;ΑΘΗΝΑ;10563;37,976102;23,733798
PUBLIC ΠΕΙΡΑΙΑ;ΓΡΗΓΟΡΙΟΥ ΛΑΜΠΡΑΚΗ 152-154;ΠΕΙΡΑΙΑΣ;18535;37,939943;23,649008
PUBLIC ΚΟΡΥΔΑΛΛΟΥ;ΠΛ. ΕΛΕΥΘΕΡΙΑΣ 10;ΚΟΡΥΔΑΛΛΟΣ;18120;37,977213;23,651103
PUBLIC ΚΑΛΛΙΘΕΑΣ;ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 155-157;ΚΑΛΛΙΘΕΑ;17672;37,956722;23,703325
ΠΛΑΙΣΙΟ ΑΜΑΡΟΥΣΙΟΥ;ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 35;ΜΑΡΟΥΣΙ;15122;38,045228;23,790138
ΠΛΑΙΣΙΟ ΣΤΟΥΡΝΑΡΗ 24;ΣΤΟΥΡΝΑΡΗ 24;ΑΘΗΝΑ;10682;37,987184;23,733144
ΠΛΑΙΣΙΟ ΨΥΧΙΚΟΥ;ΟΜΗΡΟΥ 5;ΝΕΟ ΨΥΧΙΚΟ;15451;38,005170;23,776879
ΠΛΑΙΣΙΟ;ΒΟΥΛΗΣ 3;ΑΘΗΝΑ;10562;37,977130;23,732861
ΝΕΟ ΠΛΑΙΣΙΟ ΑΓ. ΠΑΡΑΣΚΕΥΗΣ;ΛΕΩΦ. ΜΕΣΟΓΕΙΩΝ 502-504;ΑΓ. ΠΑΡΑΣΚΕΥΗ;15342;38,012581;23,836002
ΠΛΑΙΣΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ;ΦΑΒΙΕΡΟΥ 5;ΜΕΤΑΜΟΡΦΩΣΗ;14452;38,068471;23,765723
ΠΛΑΙΣΙΟ ΠΕΙΡΑΙΑ;ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ 21;ΠΕΙΡΑΙΑΣ;18531;37,946224;23,646077
ΠΛΑΙΣΙΟ ΚΗΦΙΣΙΑΣ;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 287;ΚΗΦΙΣΙΑ;14561;38,074707;23,812137
ΠΛΑΙΣΙΟ ΚΑΛΛΙΘΕΑΣ;ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΔΑΒΑΚΗ 33;ΚΑΛΛΙΘΕΑ;17672;37,953252;23,704873
ΠΛΑΙΣΙΟ ΛΕΩΦΟΡΟΥ ΒΟΥΛΙΑΓΜΕΝΗΣ ΑΡΓΥΡΟΥΠΟΛΗ;ΛΕΩΦ. ΒΟΥΛΙΑΓΜΕΝΗΣ 595;ΑΡΓΥΡΟΥΠΟΛΗ;16452;37,911443;23,745583
EURONICS - Π.Φάληρο , Μανουσάκης Α. & Σια ΕΕ;ΛΕΩΦ. ΑΓ. ΒΑΡΒΑΡΑΣ 34;ΠΑΛΑΙΟ ΦΑΛΗΡΟ;17563;37,922083;23,710457
EURONICS;ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ 1;ΗΛΙΟΥΠΟΛΗ;16346;37,942022;23,748944
MEGA EURONICS SAMOURKASIDIS;ΣΑΧΤΟΥΡΗ 45;ΠΕΙΡΑΙΑΣ;18536;37,935772;23,641497
ΜΠΡΙΛΑΚΗ, ΑΦΟΙ, Ε.Ε. - EURONICS MEGA;ΛΕΩΦ. ΜΕΣΟΓΕΙΩΝ 64;ΑΘΗΝΑ;11527;37,987408;23,766204
ΠΑΠΑΔΑΚΗΣ ΙΩΑΝΝΗΣ MEGAEURONICS;25ης ΜΑΡΤΙΟΥ 116;ΠΕΤΡΟΥΠΟΛΗ;13231;38,040089;23,688959
EURONICS ΚΙΟΥΠΟΥΡΟΓΛΟΥ;ΑΡΤΑΚΗΣ 97;ΝΕΑ ΣΜΥΡΝΗ;17124;37,944012;23,719865
ΑΦΟΙ ΜΠΑΚΙΡΤΖΗ ΟΕ _ MEGA - EURONICS _ electrozone.gr;ΒΥΖΑΝΤΙΟΥ 85;ΚΑΛΟΓΡΕΖΑ, ΝΕΑ ΙΩΝΙΑ;14234;38,036859;23,767385
ΓΕΩΡΓΙΟΥ, ΛΕΩΝΙΔΑΣ, & ΣΙΑ Ε.Ε. - EURONICS;ΧΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ 55;ΑΘΗΝΑ;10681;37,984798;23,736765
ΠΡΟΙΟΣ, Ν., & ΣΙΑ Ο.Ε.;ΟΥΛΩΦ ΠΑΛΜΕ 15;ΖΩΓΡΑΦΟΥ;15771;37,976994;23,761644
E-SHOP POINT ΜΑΡΟΥΣΙ;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 22;ΜΑΡΟΥΣΙ;15125;38,036334;23,798536
E-SHOP POINT ΓΑΛΑΤΣΙ;ΛΕΩΦ. ΓΑΛΑΤΣΙΟΥ 32;ΑΘΗΝΑ;11141;38,015627;23,740741
E-SHOP POINT ΠΕΙΡΑΙΑΣ;ΓΡ. ΛΑΜΠΡΑΚΗ 67;ΠΕΙΡΑΙΑΣ;18534;37,943439;23,652144
E-SHOP POINT ΖΩΓΡΑΦΟΥ;ΟΥΛΩΦ ΠΑΛΜΕ 12;ΖΩΓΡΑΦΟΥ;15771;37,975566;23,761095
E-SHOP POINT ΝΙΚΑΙΑ;ΠΕΤΡΟΥ ΡΑΛΛΗ 177;ΑΘΗΝΑ;18454;37,971386;23,655935
E-SHOP POINT ΕΛΛΗΝΙΚΟ;ΘΡΑΚΗΣ 1;ΕΛΛΗΝΙΚΟ;16777;37,889457;23,749547
E-SHOP POINT ΚΑΛΛΙΘΕΑ;ΛΕΩΦ. ΑΝΔΡΕΑ ΣΥΓΓΡΟΥ 212;ΚΑΛΛΙΘΕΑ;17672;37,953354;23,711880
E-SHOP POINT ΠΕΡΙΣΤΕΡΙ;ΣΟΛΩΜΟΥ 34-36;ΠΕΡΙΣΤΕΡΙ;12133;38,013616;23,709038
E-SHOP POINT ΜΕΝΙΔΙ;ΑΝΕΜΩΝΗΣ 6;ΑΧΑΡΝΕΣ;13671;38,085119;23,749980
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 252;ΧΑΛΑΝΔΡΙ;15231;38,016797;23,786662
ΚΩΤΣΟΒΟΛΟΣ ΧΟΛΑΡΓΟΣ;ΜΕΣΟΓΕΙΩΝ 319;ΧΑΛΑΝΔΡΙ;15232;38,007214;23,800162
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 124;ΑΘΗΝΑ;11526;37,995414;23,768480
ΚΩΤΣΟΒΟΛΟΣ ΑΓ. ΠΑΡΑΣΚΕΥΗ;ΜΕΣΟΓΕΙΩΝ 505;ΑΓ. ΠΑΡΑΣΚΕΥΗ;15343;38,013679;23,831918
ΚΩΤΣΟΒΟΛΟΣ;ΠΑΠΑΓΟΥ 30;ΖΩΓΡΑΦΟΥ;15771;37,978991;23,765330
ΚΩΤΣΟΒΟΛΟΣ;ΣΤΑΔΙΟΥ 34 & ΚΟΡΑΗ;ΑΘΗΝΑ;10564;37,979999;23,731848
ΚΩΤΣΟΒΟΛΟΣ;ΠΑΤΗΣΙΩΝ 101 & ΚΟΔΡΙΓΚΤΩΝΟΣ;ΑΘΗΝΑ;10434;37,995483;23,731992
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΒΟΥΛΙΑΓΜΕΝΗΣ 519;ΗΛΙΟΥΠΟΛΗ;17675;37,923979;23,744923
ΚΩΤΣΟΒΟΛΟΣ - ΣΥΓΓΡΟΥ;ΛΕΩΦ. ΑΝΔΡΕΑ ΣΥΓΓΡΟΥ 257-259;ΝΕΑ ΣΜΥΡΝΗ;17122;37,944201;23,701324
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΕΛ. ΒΕΝΙΖΕΛΟΥ 256;ΚΑΛΛΙΘΕΑ;17675;37,949509;23,691099
ΚΩΤΣΟΒΟΛΟΣ;ΤΑΞΙΑΡΧΩΝ 44;ΚΟΡΥΔΑΛΛΟΣ;18120;37,978071;23,651594
ΚΩΤΣΟΒΟΛΟΣ;ΛΕΩΦ. ΘΗΒΩΝ 205 & ΚΑΡΚΑΒΙΤΣΑ 2 & ΕΥΓΕΝΩΝ;ΠΕΡΙΣΤΕΡΙ;12134;38,016984;23,691629
ΚΩΤΣΟΒΟΛΟΣ;ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 46 & ΠΛΑΤΩΝΟΣ 5;ΠΕΙΡΑΙΑΣ;18535;37,941829;23,645687
MEDIA MARKT;ΛΕΩΦ. ΑΝΔΡΕΑ ΣΥΓΓΡΟΥ 340;ΚΑΛΛΙΘΕΑ;17673;37,944945;23,701039
MEDIA MARKT;ΛΕΩΦ. ΚΗΦΙΣΙΑΣ 49;ΜΑΡΟΥΣΙ;15123;38,036645;23,797147
MEDIA MARKT;ΛΕΩΦ. ΑΘΗΝΩΝ 64;ΑΘΗΝΑ;12136;38,001983;23,684473
MEDIA MARKT;ΛΕΟΝΤΟΣ 4;ΑΡΓΥΡΟΥΠΟΛΗ;16452;37,913189;23,743920
MEDIA MARKT;ΛΕΩΦ. ΜΑΡΑΘΩΝΟΣ 149;ΓΕΡΑΚΑΣ;15344;38,006895;23,863347
MEDIA MARKT;ΛΕΩΦ. ΧΑΛΑΝΔΡΙΟΥ 15Β;ΑΓ. ΠΑΡΑΣΚΕΥΗ;15343;38,014157;23,818236
